scenario,accuracyPct,deltaPositiveForTask,dunyaToSiyaset,genelToSiyaset,exitCode,logPath
baseline,,,-1,-1,,C:\Users\dogul\Final-Project\backend\ablation-baseline-2026-04-16T20-50-35-873Z.log
no-task11,,,-1,-1,,C:\Users\dogul\Final-Project\backend\ablation-no-task11-2026-04-16T20-50-35-873Z.log
no-task12,,,-1,-1,,C:\Users\dogul\Final-Project\backend\ablation-no-task12-2026-04-16T20-50-35-873Z.log
no-task13,,,-1,-1,,C:\Users\dogul\Final-Project\backend\ablation-no-task13-2026-04-16T20-50-35-873Z.log
no-task14,,,-1,-1,,C:\Users\dogul\Final-Project\backend\ablation-no-task14-2026-04-16T20-50-35-873Z.log
no-task15,,,-1,-1,,C:\Users\dogul\Final-Project\backend\ablation-no-task15-2026-04-16T20-50-35-873Z.log
